,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,post_away_score,post_home_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,Mx,Mz,phi,theta,is_strike,pitch_count,plate_-x,pfx_-x,spin_eff,true_spin,bauer_units,swing_miss
20,FF,2021-07-21,91.6,1.59,6.22,"Doolittle, Sean",624424,448281,,foul,5,Michael Conforto lines out sharply to right fielder Aristides Aquino.,L,L,CIN,NYM,S,,,1,0,2021,0.26,20.4,0.19,2.59,,,624413.0,1,6,Top,,,663886,-4.075633377187242,-133.2502143102529,-6.986532790529276,3.9445133579218408,26.70149083306693,-10.605534793544887,3.41,1.56,232.0,78.8,51.0,91.7,2273.0,6.2,633196,54.3,,,,,,,,48,2,4-Seam Fastball,0,7,7,0,Infield shift,Standard,173,0.0,-0.051,,,,,1,1-0,-0.19,-3.12,,,24.814410480349345,0
21,SL,2021-07-21,87.2,2.04,6.02,"Doolittle, Sean",624424,448281,,ball,13,Michael Conforto lines out sharply to right fielder Aristides Aquino.,L,L,CIN,NYM,B,,,0,0,2021,-0.05,6.24,-0.21,0.21,,,624413.0,1,6,Top,,,663886,-5.2924453255371375,-126.82835054032972,-8.924958284955824,0.3695393866958439,22.824107911193405,-25.063680668330647,3.03,1.32,,,,87.6,2239.0,6.3,633196,54.21,,,,,,,,48,1,Slider,0,7,7,0,Infield shift,Standard,173,0.0,0.046,,,,,0,0-0,0.21,0.6000000000000001,,,25.676605504587155,0
22,FF,2021-07-21,91.8,1.63,6.19,"Doolittle, Sean",642086,448281,out,hit_into_play,1,Dominic Smith flies out to center fielder Tyler Naquin.,L,L,CIN,NYM,X,8.0,fly_ball,2,2,2021,0.09,20.88,-0.4,3.12,,,624413.0,0,6,Top,108.08,56.98,663886,-5.304285306985669,-133.4827173407908,-5.61745349820577,2.2682632588497373,30.910068357394973,-10.443089633338053,3.37,1.53,354.0,94.1,33.0,91.3,2252.0,6.2,633196,54.28,0.12,0.21,0.0,1.0,0.0,0.0,3.0,47,10,4-Seam Fastball,0,7,7,0,Standard,Standard,172,0.001,-0.337,,,,,1,2-2,0.4,-1.08,,,24.531590413943356,0
23,FF,2021-07-21,91.8,1.62,6.21,"Doolittle, Sean",642086,448281,,foul,4,Dominic Smith flies out to center fielder Tyler Naquin.,L,L,CIN,NYM,S,,,2,2,2021,0.11,20.04,-0.46,2.11,,,624413.0,0,6,Top,,,663886,-5.474621660511814,-133.45076576461264,-8.161313310406431,2.36162657941054,26.77952785696404,-10.60375428411615,3.37,1.53,175.0,74.3,27.0,91.8,2239.0,6.2,633196,54.33,,,,,,,,47,9,4-Seam Fastball,0,7,7,0,Standard,Standard,167,0.0,0.0,,,,,1,2-2,0.46,-1.32,,,24.389978213507625,0
24,CU,2021-07-21,74.4,2.01,6.01,"Doolittle, Sean",642086,448281,,ball,13,Dominic Smith flies out to center fielder Tyler Naquin.,L,L,CIN,NYM,B,,,1,2,2021,-0.88,-11.16,-2.15,-1.07,,,624413.0,0,6,Top,,,663886,-6.986239882681844,-108.18598698119432,-5.6948912116863255,-5.766993025811279,18.08600742843094,-38.76243282489399,3.1,1.39,,,,74.5,2774.0,6.3,633196,54.18,,,,,,,,47,8,Curveball,0,7,7,0,Standard,Standard,320,0.0,0.064,,,,,0,1-2,2.15,10.56,,,37.284946236559136,0
25,CU,2021-07-21,74.6,1.98,6.04,"Doolittle, Sean",642086,448281,,foul,13,Dominic Smith flies out to center fielder Tyler Naquin.,L,L,CIN,NYM,S,,,1,2,2021,-1.25,-7.5600000000000005,-0.9,2.39,,,624413.0,0,6,Top,,,663886,-3.7257254735787058,-108.64428266075257,0.8154076026409018,-9.232973338649431,19.661513204125995,-37.51320854893175,3.37,1.53,6.0,50.0,-22.0,74.3,2628.0,6.1,633196,54.4,,,,,,,,47,7,Curveball,0,7,7,0,Standard,Standard,317,0.0,0.0,,,,,1,1-2,0.9,15.0,,,35.22788203753351,0
26,FF,2021-07-21,92.1,1.76,6.28,"Doolittle, Sean",642086,448281,,foul,11,Dominic Smith flies out to center fielder Tyler Naquin.,L,L,CIN,NYM,S,,,1,2,2021,0.09,19.919999999999998,-0.55,4.2,,,624413.0,0,6,Top,,,663886,-6.027561824800793,-133.99971267440446,-3.043555389008747,2.382430821003527,27.42543187277444,-11.716468480904108,3.37,1.53,,,,91.8,2293.0,6.0,633196,54.52,,,,,,,,47,6,4-Seam Fastball,0,7,7,0,Standard,Standard,168,0.0,0.0,,,,,1,1-2,0.55,-1.08,,,24.896851248642783,0
27,SL,2021-07-21,85.1,1.87,6.04,"Doolittle, Sean",642086,448281,,foul,8,Dominic Smith flies out to center fielder Tyler Naquin.,L,L,CIN,NYM,S,,,1,2,2021,-0.33,6.84,-0.1,1.6,,,624413.0,0,6,Top,,,663886,-3.9580262801586743,-123.9811553133492,-5.316627331075656,-2.686734338559224,22.08854039482598,-25.477160600041078,3.37,1.53,98.0,64.9,17.0,85.3,2238.0,6.1,633196,54.41,,,,,,,,47,5,Slider,0,7,7,0,Standard,Standard,191,0.0,0.0,,,,,1,1-2,0.1,3.96,,,26.29847238542891,0
28,FF,2021-07-21,91.4,1.59,6.19,"Doolittle, Sean",642086,448281,,foul,4,Dominic Smith flies out to center fielder Tyler Naquin.,L,L,CIN,NYM,S,,,1,2,2021,0.03,20.04,-0.54,2.51,,,624413.0,0,6,Top,,,663886,-5.420607945221975,-132.97059679992302,-6.998554978069976,1.5162043788248751,27.33563117711713,-10.998780789091189,3.37,1.53,179.0,74.9,64.0,91.3,2213.0,6.1,633196,54.38,,,,,,,,47,4,4-Seam Fastball,0,7,7,0,Standard,Standard,175,0.0,0.0,,,,,1,1-2,0.54,-0.36,,,24.21225382932166,0
29,FF,2021-07-21,91.8,1.63,6.19,"Doolittle, Sean",642086,448281,,called_strike,4,Dominic Smith flies out to center fielder Tyler Naquin.,L,L,CIN,NYM,S,,,1,1,2021,-0.11,20.28,-0.28,2.02,,,624413.0,0,6,Top,,,663886,-4.561754922467142,-133.4846619859854,-8.35310575106433,-0.4321305767101308,26.53538743251962,-10.406244741127024,3.19,1.48,,,,91.7,2215.0,6.1,633196,54.42,,,,,,,,47,3,4-Seam Fastball,0,7,7,0,Standard,Standard,171,0.0,-0.098,,,,,1,1-1,0.28,1.32,,,24.128540305010894,0
