,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,is_strike,pitch_count,plate_-x,pfx_-x,bauer_units,swing_miss
26,KC,2021-09-24,86.3,-2.96,5.04,"Kimbrel, Craig",642708,518886,strikeout,swinging_strike,14.0,Amed Rosario strikes out swinging.,R,R,R,CLE,CWS,S,2.0,,2,2,2021,1.07,-7.92,0.95,1.03,,,,2,8,Bot,,,641470,7.142598857295521,-125.51016452150924,-1.9633912745205084,9.877537782702316,25.342543526335707,-38.986939768218406,3.47,1.59,,,,86.7,2565.0,6.6,632363,518886,641470,547989,514917,660162,641313,650391,673357,683734,53.91,,,0.0,1.0,0.0,0.0,,57,5,Knuckle Curve,0,1,0,1,1,0,0,1,Standard,Standard,46.0,-0.031,-0.091,1,2-2,-0.95,-12.84,29.721900347624565,1
27,KC,2021-09-24,86.2,-3.15,4.85,"Kimbrel, Craig",642708,518886,,swinging_strike,8.0,Amed Rosario strikes out swinging.,R,R,R,CLE,CWS,S,,,2,1,2021,0.92,-0.48,0.04,1.6,,,,2,8,Bot,,,641470,5.762920991407926,-125.46853596051346,-1.4655408264021494,8.62830778122951,23.88353197257791,-32.46684450607762,3.47,1.59,,,,86.8,2592.0,6.5,632363,518886,641470,547989,514917,660162,641313,650391,673357,683734,53.95,,,,,,,,57,4,Knuckle Curve,0,1,0,1,1,0,0,1,Standard,Standard,65.0,0.0,-0.028,1,2-1,-0.04,-11.040000000000001,30.069605568445475,1
28,FF,2021-09-24,95.1,-3.09,4.74,"Kimbrel, Craig",642708,518886,,ball,12.0,Amed Rosario strikes out swinging.,R,R,R,CLE,CWS,B,,,1,1,2021,-0.96,15.0,1.41,3.07,,,,2,8,Bot,,,641470,14.007015249465285,-137.8343155533738,-1.507061225249112,-15.300282357201292,29.913753911915407,-16.044342011865744,3.48,1.62,,,,95.6,2339.0,6.7,632363,518886,641470,547989,514917,660162,641313,650391,673357,683734,53.77,,,,,,,,57,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,232.0,0.0,0.02,0,1-1,-1.41,11.52,24.59516298633018,0
29,FF,2021-09-24,95.1,-2.9,4.87,"Kimbrel, Craig",642708,518886,,called_strike,3.0,Amed Rosario strikes out swinging.,R,R,R,CLE,CWS,S,,,1,0,2021,-0.8,14.76,0.6,2.95,,,,2,8,Bot,,,641470,11.01764028529638,-138.17041772069635,-2.155473266225266,-12.72039157818875,29.929105644492367,-16.106856477167753,3.48,1.7,,,,95.5,2313.0,6.5,632363,518886,641470,547989,514917,660162,641313,650391,673357,683734,53.97,,,,,,,,57,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,222.0,0.0,-0.02,1,1-0,-0.6,9.600000000000001,24.321766561514195,0
30,KC,2021-09-24,85.7,-3.29,4.86,"Kimbrel, Craig",642708,518886,,ball,13.0,Amed Rosario strikes out swinging.,R,R,R,CLE,CWS,B,,,0,0,2021,0.93,-8.28,-0.76,0.78,,,,2,8,Bot,,,641470,4.109439097763623,-124.81469666041669,-1.9675599036375329,8.79601269431588,26.11742694399411,-39.20533209058362,3.52,1.69,,,,85.9,2569.0,6.5,632363,518886,641470,547989,514917,660162,641313,650391,673357,683734,54.02,,,,,,,,57,1,Knuckle Curve,0,1,0,1,1,0,0,1,Standard,Standard,55.0,0.0,0.016,0,0-0,0.76,-11.16,29.97666277712952,0
31,KC,2021-09-24,86.3,-3.09,4.93,"Kimbrel, Craig",605548,518886,strikeout,swinging_strike,8.0,Bradley Zimmer strikes out swinging.,R,L,R,CLE,CWS,S,2.0,,1,2,2021,0.92,-3.4799999999999995,0.22,1.96,,,,1,8,Bot,,,641470,6.009973553152283,-125.61715182182644,-0.2641436275206854,8.529995210964234,25.598887311528383,-35.39576275949745,3.55,1.63,,,,86.6,2575.0,6.5,632363,518886,641470,547989,514917,660162,641313,650391,673357,683734,54.04,,,0.0,1.0,0.0,0.0,,56,4,Knuckle Curve,0,1,0,1,1,0,0,1,Standard,Standard,64.0,-0.046,-0.114,1,1-2,-0.22,-11.040000000000001,29.837775202780996,1
32,KC,2021-09-24,86.1,-2.99,4.9,"Kimbrel, Craig",605548,518886,,ball,13.0,Bradley Zimmer strikes out swinging.,R,L,R,CLE,CWS,B,,,0,2,2021,0.54,-9.120000000000001,-0.97,0.15,,,,1,8,Bot,,,641470,3.727188977030671,-125.44322678361468,-3.528088241188377,4.969495425949877,24.598376358209325,-39.7605183270613,3.43,1.68,,,,86.7,2614.0,6.5,632363,518886,641470,547989,514917,660162,641313,650391,673357,683734,53.97,,,,,,,,56,3,Knuckle Curve,0,1,0,1,1,0,0,1,Standard,Standard,47.0,0.0,0.013,0,0-2,0.97,-6.48,30.360046457607435,0
33,KC,2021-09-24,85.6,-2.77,5.02,"Kimbrel, Craig",605548,518886,,called_strike,7.0,Bradley Zimmer strikes out swinging.,R,L,R,CLE,CWS,S,,,0,1,2021,0.69,-10.32,-0.72,2.17,,,,1,8,Bot,,,641470,3.483562058732173,-124.68635280604416,1.2578772333265482,6.534254136538328,24.14920627794528,-41.60017238346416,3.41,1.68,,,,86.2,2508.0,6.6,632363,518886,641470,547989,514917,660162,641313,650391,673357,683734,53.93,,,,,,,,56,2,Knuckle Curve,0,1,0,1,1,0,0,1,Standard,Standard,59.0,0.0,-0.035,1,0-1,0.72,-8.28,29.29906542056075,0
34,KC,2021-09-24,85.5,-3.08,4.95,"Kimbrel, Craig",605548,518886,,called_strike,5.0,Bradley Zimmer strikes out swinging.,R,L,R,CLE,CWS,S,,,0,0,2021,0.86,-5.4,-0.05,2.53,,,,1,8,Bot,,,641470,5.447085430964751,-124.45329319602564,1.4619548198280254,7.935560877869262,23.52019192995461,-37.353794212482896,3.43,1.68,,,,86.1,2477.0,6.5,632363,518886,641470,547989,514917,660162,641313,650391,673357,683734,53.98,,,,,,,,56,1,Knuckle Curve,0,1,0,1,1,0,0,1,Standard,Standard,60.0,0.0,-0.027,1,0-0,0.05,-10.32,28.970760233918128,0
35,KC,2021-09-24,85.2,-3.03,5.01,"Kimbrel, Craig",640458,518886,strikeout,swinging_strike,7.0,Oscar Mercado strikes out swinging.,R,R,R,CLE,CWS,S,2.0,,1,2,2021,0.71,-10.68,-0.57,1.76,,,,0,8,Bot,,,641470,4.338324198880327,-123.99257545659634,0.4780715389774326,6.500264712997124,24.74172816081413,-41.70635880588999,3.47,1.59,,,,85.3,2448.0,6.3,632363,518886,641470,547989,514917,660162,641313,650391,673357,683734,54.15,,,0.0,1.0,0.0,0.0,,55,4,Knuckle Curve,0,1,0,1,1,0,0,1,Standard,Standard,51.0,-0.062,-0.173,1,1-2,0.57,-8.52,28.732394366197184,1
