,pitch_type,game_date,player_name,launch_speed,launch_angle,hit_distance_sc,hc_x,hc_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,type,hit_location,bb_type,events,description,des,balls,strikes,pitch_count,zone,is_strike,swing_miss,first_pitch_take,first_pitch_swing,in_zone_take,out_of_zone_chase,release_speed,release_spin_rate,spin_axis,pfx_x,pfx_-x,pfx_z,release_pos_x,release_pos_z,effective_speed,release_extension,release_pos_y,plate_-x,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,stand,p_throws,release_speed,release_spin_rate,spin_axis,pfx_x,pfx_-x,pfx_z,release_pos_x,release_pos_z,effective_speed,release_extension,release_pos_y,plate_-x,plate_x,plate_z,batter,pitcher,home_team,away_team,if_fielding_alignment,of_fielding_alignment,game_pk,at_bat_number,pitch_number,pitch_name,home_score,away_score,post_away_score,post_home_score,delta_home_win_exp,delta_run_exp,game_year
20,FF,2021-10-02,"Harper, Bryce",,,,,,,,0.0,1.0,0.0,0.0,,S,2.0,,strikeout,swinging_strike,Bryce Harper strikes out swinging.,1,2,1-2,11,1,1,0,0,0,1,97.1,2212.0,129.0,1.15,-13.799999999999999,15.36,2.16,6.0,94.8,5.1,55.36,0.08,-0.08,3.83,,,664761.0,1,1,Top,656577,-8.431531670264231,-141.06676679127568,-3.119605681493885,17.36015597886819,33.20568886691044,-14.560687380640944,3.49,1.6,L,L,97.1,2212.0,129.0,1.15,-13.799999999999999,15.36,2.16,6.0,94.8,5.1,55.36,0.08,-0.08,3.83,547180,666200,MIA,PHI,Infield shift,Standard,632263,3,4,4-Seam Fastball,0,0,0,0,0.028,-0.21,2021
21,SI,2021-10-02,"Harper, Bryce",,,,,,,,,,,,,B,,,,ball,Bryce Harper called out on strikes.,1,1,1-1,11,0,0,0,0,0,0,96.9,2132.0,228.0,-1.5,18.0,2.4000000000000004,-1.17,5.92,95.7,5.7,54.79,0.34,-0.34,3.47,,,664761.0,2,8,Top,656577,5.5518071108293805,-141.02665992294175,-1.4101251623956168,-21.22771048001425,33.888077052938215,-29.42182751402958,3.29,1.51,L,R,96.9,2132.0,228.0,-1.5,18.0,2.4000000000000004,-1.17,5.92,95.7,5.7,54.79,0.34,-0.34,3.47,547180,669622,MIA,PHI,Infield shift,Strategic,632263,57,3,Sinker,3,1,1,3,0.0,0.041,2021
22,SL,2021-10-02,"Harper, Bryce",,,,,,,,,,,,,B,,,,ball,Bryce Harper called out on strikes.,0,1,0-1,11,0,0,0,0,0,0,82.6,2401.0,57.0,0.78,-9.36,-1.44,-1.5,5.66,82.1,6.0,54.53,0.92,-0.92,2.59,,,664761.0,2,8,Top,656577,-0.1905394902829073,-120.28963438602574,-0.2363669658308761,7.552487317821379,24.05256074361254,-33.54372441904053,3.39,1.55,L,R,82.6,2401.0,57.0,0.78,-9.36,-1.44,-1.5,5.66,82.1,6.0,54.53,0.92,-0.92,2.59,547180,669622,MIA,PHI,Infield shift,Strategic,632263,57,2,Slider,3,1,1,3,0.0,0.029,2021
23,FF,2021-10-02,"Harper, Bryce",,,,,,,,,,,,,S,,,,swinging_strike,Bryce Harper strikes out swinging.,1,1,1-1,6,1,1,0,0,0,0,95.8,2245.0,129.0,1.08,-12.96,16.32,1.89,6.18,94.0,5.4,55.15,-0.51,0.51,2.81,,,664761.0,1,1,Top,656577,-5.980615538984549,-139.29956736194313,-6.220086675132132,15.46453107458784,32.441631469006374,-13.24797417929537,3.49,1.6,L,L,95.8,2245.0,129.0,1.08,-12.96,16.32,1.89,6.18,94.0,5.4,55.15,-0.51,0.51,2.81,547180,666200,MIA,PHI,Infield shift,Standard,632263,3,3,4-Seam Fastball,0,0,0,0,0.0,-0.086,2021
24,CU,2021-10-02,"Harper, Bryce",,,,,,,,,,,,,S,,,,called_strike,Bryce Harper strikes out swinging.,1,0,1-0,5,1,0,0,0,1,0,83.4,2188.0,117.0,0.04,-0.48,3.5999999999999996,2.06,5.92,82.5,5.4,55.1,-0.01,0.01,2.51,,,664761.0,1,1,Top,656577,-4.7229456625585415,-121.46491193557632,-2.0404307495235616,1.2468531707536303,21.3909401467999,-29.036284623394994,3.27,1.62,L,L,83.4,2188.0,117.0,0.04,-0.48,3.5999999999999996,2.06,5.92,82.5,5.4,55.1,-0.01,0.01,2.51,547180,666200,MIA,PHI,Infield shift,Standard,632263,3,2,Curveball,0,0,0,0,0.0,-0.051,2021
25,SL,2021-10-02,"Harper, Bryce",,,,,,,,,,,,,S,,,,called_strike,Bryce Harper called out on strikes.,0,0,0-0,2,1,0,1,0,1,0,83.2,2419.0,54.0,0.58,-6.959999999999999,-1.08,-1.52,5.73,83.0,6.1,54.44,0.06,-0.06,3.39,,,664761.0,2,8,Top,656577,2.227421296690585,-121.17665949370873,1.243464951440752,5.276346814308019,23.43205225974643,-33.47783198103701,3.43,1.62,L,R,83.2,2419.0,54.0,0.58,-6.959999999999999,-1.08,-1.52,5.73,83.0,6.1,54.44,0.06,-0.06,3.39,547180,669622,MIA,PHI,Infield shift,Standard,632263,57,1,Slider,3,1,1,3,0.0,-0.041,2021
26,SI,2021-10-02,"Harper, Bryce",,,,,,,,,,,,,B,,,,ball,Bryce Harper strikes out swinging.,0,0,0-0,14,0,0,0,0,0,0,95.6,2304.0,133.0,1.57,-18.84,13.68,2.06,5.95,93.4,5.5,54.97,-0.31,0.31,0.6,,,664761.0,1,1,Top,656577,-8.016634839850306,-138.52701411214693,-10.746623163416675,22.024633354380807,35.3854806457368,-15.106213423186206,3.47,1.53,L,L,95.6,2304.0,133.0,1.57,-18.84,13.68,2.06,5.95,93.4,5.5,54.97,-0.31,0.31,0.6,547180,666200,MIA,PHI,Infield shift,Standard,632263,3,1,Sinker,0,0,0,0,0.0,0.046,2021
27,FF,2021-10-01,"Harper, Bryce",102.9,33.0,369.0,33.23,81.34,0.683,1.333,2.0,1.0,0.0,3.0,6.0,X,,fly_ball,home_run,hit_into_play,Bryce Harper homers (35) on a fly ball to left field.,2,1,2-1,5,1,0,0,0,0,0,99.0,2101.0,234.0,-0.89,10.68,11.76,-1.93,5.92,98.2,6.0,54.48,-0.16,0.16,2.42,,,,1,5,Top,668721,7.699163641140949,-143.83442114564102,-6.355544992543679,-14.152792964064394,35.0698677101441,-17.189311000383384,3.49,1.6,L,R,99.0,2101.0,234.0,-0.89,10.68,11.76,-1.93,5.92,98.2,6.0,54.48,-0.16,0.16,2.42,547180,645261,MIA,PHI,Infield shift,Strategic,632271,38,4,4-Seam Fastball,0,3,4,0,-0.063,0.968,2021
28,FF,2021-10-01,"Harper, Bryce",,,,,,,,,,,,,B,,,,ball,Bryce Harper homers (35) on a fly ball to left field.,1,1,1-1,12,0,0,0,0,0,0,99.4,2197.0,233.0,-0.94,11.28,14.28,-2.13,5.92,98.2,5.8,54.74,-0.56,0.56,3.9,,,,1,5,Top,668721,9.464909143581776,-144.50551928427134,-2.860757464746021,-15.42176488163016,34.65740019592732,-15.051427385396366,3.54,1.76,L,R,99.4,2197.0,233.0,-0.94,11.28,14.28,-2.13,5.92,98.2,5.8,54.74,-0.56,0.56,3.9,547180,645261,MIA,PHI,Infield shift,Strategic,632271,38,3,4-Seam Fastball,0,3,3,0,0.0,0.038,2021
29,FF,2021-10-01,"Harper, Bryce",,,,,,,,,,,,,B,,,,ball,Bryce Harper homers (35) on a fly ball to left field.,0,1,0-1,12,0,0,0,0,0,0,99.3,2148.0,232.0,-0.84,10.08,15.84,-2.04,5.95,97.7,5.6,54.93,-0.79,0.79,3.67,,,,1,5,Top,668721,9.582050970382802,-144.28075119712807,-3.850712549014912,-14.091597727055706,35.25404331564487,-13.005728423333808,3.51,1.73,L,R,99.3,2148.0,232.0,-0.84,10.08,15.84,-2.04,5.95,97.7,5.6,54.93,-0.79,0.79,3.67,547180,645261,MIA,PHI,Infield shift,Strategic,632271,38,2,4-Seam Fastball,0,3,3,0,0.0,0.021,2021
