,pitch_type,game_date,player_name,launch_speed,launch_angle,hit_distance_sc,hc_x,hc_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,type,hit_location,bb_type,events,description,des,balls,strikes,pitch_count,zone,is_strike,swing_miss,first_pitch_take,first_pitch_swing,in_zone_take,out_of_zone_chase,release_speed,release_spin_rate,spin_axis,pfx_x,pfx_-x,pfx_z,release_pos_x,release_pos_z,effective_speed,release_extension,release_pos_y,plate_-x,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,stand,p_throws,release_speed,release_spin_rate,spin_axis,pfx_x,pfx_-x,pfx_z,release_pos_x,release_pos_z,effective_speed,release_extension,release_pos_y,plate_-x,plate_x,plate_z,batter,pitcher,home_team,away_team,if_fielding_alignment,of_fielding_alignment,game_pk,at_bat_number,pitch_number,pitch_name,home_score,away_score,post_away_score,post_home_score,delta_home_win_exp,delta_run_exp,game_year
20,CH,2021-10-02,"Gallo, Joey",,,,,,,,,,,,,B,,,,ball,Joey Gallo grounds out softly to first baseman Francisco Mejia.,0,1,0-1,11.0,0,0,0,0,0,0,86.8,1245.0,223.0,-0.92,11.040000000000001,10.44,-1.96,5.86,87.4,6.6,53.86,1.11,-1.11,2.45,,,,1,6,Bot,572287,3.938774145250628,-126.3600039313654,-3.763026572824746,-10.634361094721289,25.70934776594926,-22.335727471475952,3.39,1.43,L,R,86.8,1245.0,223.0,-0.92,11.040000000000001,10.44,-1.96,5.86,87.4,6.6,53.86,1.11,-1.11,2.45,608336,672715,NYY,TB,Strategic,4th outfielder,632259,54,2,Changeup,2,8,8,2,0.0,0.021,2021
21,FF,2021-10-02,"Gallo, Joey",78.7,59.0,224.0,,,,,,,,,,S,,,,foul,Joey Gallo grounds out softly to first baseman Francisco Mejia.,0,0,0-0,5.0,1,0,0,1,0,0,96.8,2367.0,199.0,-0.28,3.3600000000000003,18.12,-1.99,6.0,97.2,6.6,53.94,0.18,-0.18,2.77,,,,1,6,Bot,572287,5.514235838369974,-140.7790306375571,-6.535138531286027,-5.021033898178297,32.168649295159376,-10.83877555540512,3.58,1.68,L,R,96.8,2367.0,199.0,-0.28,3.3600000000000003,18.12,-1.99,6.0,97.2,6.6,53.94,0.18,-0.18,2.77,608336,672715,NYY,TB,Strategic,4th outfielder,632259,54,1,4-Seam Fastball,2,8,8,2,0.0,-0.027,2021
22,FF,2021-10-02,"Gallo, Joey",43.6,-38.0,4.0,115.82,161.74,0.234,0.216,0.9,1.0,1.0,0.0,1.0,X,6.0,ground_ball,single,hit_into_play,Joey Gallo singles on a soft ground ball to shortstop Wander Franco.,2,2,2-2,2.0,1,0,0,0,0,0,93.3,2469.0,200.0,-0.75,9.0,18.36,-0.33,6.27,92.1,5.8,54.65,-0.02,0.02,3.08,,,,1,4,Bot,572287,2.53296703406325,-135.7264752559759,-5.686934739201741,-9.858661887342231,33.23821670387789,-12.275551136093894,3.58,1.68,L,R,93.3,2469.0,200.0,-0.75,9.0,18.36,-0.33,6.27,92.1,5.8,54.65,-0.02,0.02,3.08,608336,656420,NYY,TB,Infield shift,4th outfielder,632259,36,5,4-Seam Fastball,1,7,7,1,0.01,0.283,2021
23,CH,2021-10-02,"Gallo, Joey",,,,,,,,,,,,,B,,,,ball,Joey Gallo singles on a soft ground ball to shortstop Wander Franco.,1,2,1-2,13.0,0,0,0,0,0,0,87.9,1599.0,237.0,-1.39,16.68,0.96,-1.06,5.97,86.7,5.8,54.66,0.22,-0.22,0.25,,,,1,4,Bot,572287,4.84039624894208,-127.64778387514696,-7.760307858446477,-16.156750587110903,28.34323138423993,-29.839617349631112,3.54,1.59,L,R,87.9,1599.0,237.0,-1.39,16.68,0.96,-1.06,5.97,86.7,5.8,54.66,0.22,-0.22,0.25,608336,656420,NYY,TB,Infield shift,4th outfielder,632259,36,4,Changeup,1,7,7,1,0.0,0.028,2021
24,CH,2021-10-02,"Gallo, Joey",,,,,,,,,,,,,B,,,,ball,Joey Gallo singles on a soft ground ball to shortstop Wander Franco.,0,2,0-2,13.0,0,0,0,0,0,0,87.6,1514.0,242.0,-1.47,17.64,0.48,-1.16,6.01,86.5,5.9,54.62,0.89,-0.89,0.81,,,,1,4,Bot,572287,3.6466270563797423,-127.40782478946556,-6.387557287901416,-16.66323191519967,29.266454384581422,-30.48948005863848,3.52,1.54,L,R,87.6,1514.0,242.0,-1.47,17.64,0.48,-1.16,6.01,86.5,5.9,54.62,0.89,-0.89,0.81,608336,656420,NYY,TB,Infield shift,4th outfielder,632259,36,3,Changeup,1,7,7,1,0.0,0.013,2021
25,CH,2021-10-02,"Gallo, Joey",,,,,,,,,,,,,S,,,,swinging_strike,Joey Gallo singles on a soft ground ball to shortstop Wander Franco.,0,1,0-1,7.0,1,1,0,0,0,0,88.1,1564.0,237.0,-1.39,16.68,3.3600000000000003,-1.04,6.04,87.4,6.0,54.49,0.47,-0.47,1.61,,,,1,4,Bot,572287,4.245889153826758,-128.13135821362758,-5.195214800096477,-16.16840228151979,27.74477339681921,-28.18311219971841,3.58,1.68,L,R,88.1,1564.0,237.0,-1.39,16.68,3.3600000000000003,-1.04,6.04,87.4,6.0,54.49,0.47,-0.47,1.61,608336,656420,NYY,TB,Strategic,4th outfielder,632259,36,2,Changeup,1,7,7,1,0.0,-0.035,2021
26,SL,2021-10-02,"Gallo, Joey",,,,,,,,0.0,1.0,0.0,0.0,,S,2.0,,strikeout,swinging_strike,Joey Gallo strikes out swinging.,0,2,0-2,13.0,1,1,0,0,0,1,79.2,2545.0,76.0,1.57,-18.84,-0.8400000000000001,-2.48,5.24,79.5,7.0,53.51,0.48,-0.48,1.35,,,592450.0,2,8,Bot,572287,1.4467345760344466,-115.21236742158716,-1.4322871204699898,13.435468472706429,25.81453611476228,-32.757753167371995,3.58,1.68,L,R,79.2,2545.0,76.0,1.57,-18.84,-0.8400000000000001,-2.48,5.24,79.5,7.0,53.51,0.48,-0.48,1.35,608336,607391,NYY,TB,Infield shift,Standard,632259,75,3,Slider,2,12,12,2,0.0,-0.138,2021
27,FC,2021-10-02,"Gallo, Joey",82.5,-27.0,5.0,,,,,,,,,,S,,,,foul,Joey Gallo strikes out swinging.,0,1,0-1,8.0,1,0,0,0,0,0,87.7,2382.0,165.0,0.29,-3.4799999999999995,3.24,-2.43,5.22,88.3,6.8,53.67,-0.23,0.23,2.23,,,592450.0,2,8,Bot,572287,5.893532286159086,-127.55560800316108,-1.6112884976262594,1.836929747413412,27.955829197952248,-29.13591694603635,3.58,1.68,L,R,87.7,2382.0,165.0,0.29,-3.4799999999999995,3.24,-2.43,5.22,88.3,6.8,53.67,-0.23,0.23,2.23,608336,607391,NYY,TB,Infield shift,Standard,632259,75,2,Cutter,2,12,12,2,0.0,-0.047,2021
28,FF,2021-10-02,"Gallo, Joey",,,,,,,,,,,,,S,,,,foul,Joey Gallo singles on a soft ground ball to shortstop Wander Franco.,0,0,0-0,8.0,1,0,0,0,0,0,94.0,2519.0,192.0,-0.21,2.52,20.4,-0.37,6.39,92.7,5.9,54.62,-0.08,0.08,2.07,,,,1,4,Bot,572287,1.64217957334901,-136.58110099100924,-9.07376129895262,-3.0569523135987167,34.19338486521587,-9.039943397718362,3.58,1.68,L,R,94.0,2519.0,192.0,-0.21,2.52,20.4,-0.37,6.39,92.7,5.9,54.62,-0.08,0.08,2.07,608336,656420,NYY,TB,Strategic,4th outfielder,632259,36,1,4-Seam Fastball,1,7,7,1,0.0,-0.027,2021
29,FC,2021-10-02,"Gallo, Joey",,,,,,,,,,,,,S,,,,swinging_strike,Joey Gallo strikes out swinging.,0,0,0-0,9.0,1,1,0,1,0,0,85.7,2253.0,134.0,0.26,-3.12,4.199999999999999,-2.4,5.33,86.8,7.1,53.4,-0.52,0.52,1.63,,,592450.0,2,8,Bot,572287,6.479428137458626,-124.71131279813022,-3.195512809791444,1.3037087666641003,26.059402007258555,-28.10747064528961,3.58,1.68,L,R,85.7,2253.0,134.0,0.26,-3.12,4.199999999999999,-2.4,5.33,86.8,7.1,53.4,-0.52,0.52,1.63,608336,607391,NYY,TB,Infield shift,Standard,632259,75,1,Cutter,2,12,12,2,0.0,-0.041,2021
