,pitch_type,game_date,player_name,launch_speed,launch_angle,hit_distance_sc,hc_x,hc_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,type,hit_location,bb_type,events,description,des,balls,strikes,pitch_count,zone,is_strike,swing_miss,first_pitch_take,first_pitch_swing,in_zone_take,out_of_zone_chase,release_speed,release_spin_rate,spin_axis,pfx_x,pfx_-x,pfx_z,release_pos_x,release_pos_z,effective_speed,release_extension,release_pos_y,plate_-x,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,stand,p_throws,release_speed,release_spin_rate,spin_axis,pfx_x,pfx_-x,pfx_z,release_pos_x,release_pos_z,effective_speed,release_extension,release_pos_y,plate_-x,plate_x,plate_z,batter,pitcher,home_team,away_team,if_fielding_alignment,of_fielding_alignment,game_pk,at_bat_number,pitch_number,pitch_name,home_score,away_score,post_away_score,post_home_score,delta_home_win_exp,delta_run_exp,game_year
20,FF,2021-10-02,"Swanson, Dansby",,,,,,,,0.0,1.0,0.0,0.0,,S,2.0,,strikeout,foul,Dansby Swanson strikes out on a foul tip.,1,2,1-2,12,1,0,0,0,0,0,94.8,2346.0,222.0,-0.56,6.720000000000001,13.559999999999999,-0.95,5.84,95.1,6.4,54.11,-0.27,0.27,3.79,,,518692.0,2,1,Bot,543510,4.454806623357886,-138.05819166677827,-2.2363606958184903,-8.19168432687139,30.54524995390392,-17.461282371944897,3.41,1.56,R,R,94.8,2346.0,222.0,-0.56,6.720000000000001,13.559999999999999,-0.95,5.84,95.1,6.4,54.11,-0.27,0.27,3.79,621020,471911,ATL,NYM,Infield shift,Standard,632262,7,4,4-Seam Fastball,0,0,0,0,-0.022,-0.155,2021
21,FF,2021-10-02,"Swanson, Dansby",,,,,,,,,,,,,S,,,,called_strike,Dansby Swanson strikes out on a foul tip.,1,1,1-1,4,1,0,0,0,1,0,95.4,2291.0,222.0,-0.71,8.52,14.64,-1.13,5.81,95.9,6.5,53.96,0.51,-0.51,2.19,,,518692.0,2,1,Bot,543510,3.255981589666383,-138.84901903727814,-6.687717847456466,-9.88880588922226,30.60973754681151,-15.037515161517105,3.47,1.56,R,R,95.4,2291.0,222.0,-0.71,8.52,14.64,-1.13,5.81,95.9,6.5,53.96,0.51,-0.51,2.19,621020,471911,ATL,NYM,Infield shift,Standard,632262,7,3,4-Seam Fastball,0,0,0,0,0.0,-0.059,2021
22,SL,2021-10-02,"Swanson, Dansby",,,,,,,,,,,,,B,,,,ball,Dansby Swanson strikes out on a foul tip.,0,1,0-1,14,0,0,0,0,0,0,88.2,2411.0,197.0,0.59,-7.08,6.6000000000000005,-1.31,5.65,88.7,6.6,53.95,-1.3,1.3,1.79,,,518692.0,2,1,Bot,543510,5.142951095094936,-128.3154404604717,-4.4679370534080585,5.477207697845081,26.13390789550736,-25.353306171549868,3.45,1.56,R,R,88.2,2411.0,197.0,0.59,-7.08,6.6000000000000005,-1.31,5.65,88.7,6.6,53.95,-1.3,1.3,1.79,621020,471911,ATL,NYM,Infield shift,Standard,632262,7,2,Slider,0,0,0,0,0.0,0.029,2021
23,SL,2021-10-02,"Swanson, Dansby",,,,,,,,,,,,,S,,,,called_strike,Dansby Swanson strikes out on a foul tip.,0,0,0-0,2,1,0,1,0,1,0,88.4,2392.0,208.0,0.03,-0.36,8.64,-1.25,5.61,89.0,6.4,54.06,0.13,-0.13,3.4,,,518692.0,2,1,Bot,543510,2.670830892510531,-128.82703800823796,-0.8462280069077607,-0.137861802559864,24.972247803221567,-24.150500959493325,3.42,1.56,R,R,88.4,2392.0,208.0,0.03,-0.36,8.64,-1.25,5.61,89.0,6.4,54.06,0.13,-0.13,3.4,621020,471911,ATL,NYM,Infield shift,Standard,632262,7,1,Slider,0,0,0,0,0.0,-0.041,2021
24,SI,2021-10-02,"Swanson, Dansby",,,,,,,,0.0,1.0,0.0,0.0,,S,2.0,,strikeout,swinging_strike,Dansby Swanson strikes out swinging.,1,2,1-2,14,1,1,0,0,0,1,92.4,2312.0,126.0,1.6,-19.200000000000003,4.4399999999999995,2.72,6.2,90.9,5.6,54.93,-1.1,1.1,1.81,,,,0,7,Bot,543510,-7.471388124911301,-134.27181475410873,-6.070807552900058,20.99876673524297,30.48270375668666,-26.467904806454776,3.41,1.56,R,L,92.4,2312.0,126.0,1.6,-19.200000000000003,4.4399999999999995,2.72,6.2,90.9,5.6,54.93,-1.1,1.1,1.81,621020,543272,ATL,NYM,Infield shift,Standard,632262,58,4,Sinker,6,1,1,6,-0.002,-0.173,2021
25,SL,2021-10-02,"Swanson, Dansby",,,,,,,,,,,,,S,,,,called_strike,Dansby Swanson strikes out swinging.,1,1,1-1,14,1,0,0,0,0,0,77.3,2330.0,312.0,-1.06,12.72,-1.56,2.69,6.13,76.1,5.4,55.12,-0.98,0.98,2.14,,,,0,7,Bot,543510,-1.713095451769198,-112.59674587115674,-1.321181487420651,-8.667098802004457,20.53724865726023,-33.22915625262858,3.41,1.68,R,L,77.3,2330.0,312.0,-1.06,12.72,-1.56,2.69,6.13,76.1,5.4,55.12,-0.98,0.98,2.14,621020,543272,ATL,NYM,Infield shift,Standard,632262,58,3,Slider,6,1,1,6,0.0,-0.057,2021
26,SI,2021-10-02,"Swanson, Dansby",,,,,,,,,,,,,S,,,,called_strike,Dansby Swanson strikes out swinging.,1,0,1-0,14,1,0,0,0,0,0,91.7,2348.0,118.0,1.3,-15.600000000000001,9.600000000000001,2.73,6.12,90.2,5.5,55.01,-0.92,0.92,2.08,,,,0,7,Bot,543510,-7.255055170192147,-133.19625591339303,-5.959770753698994,17.068075033108414,29.031013703871302,-21.53015822993458,3.51,1.75,R,L,91.7,2348.0,118.0,1.3,-15.600000000000001,9.600000000000001,2.73,6.12,90.2,5.5,55.01,-0.92,0.92,2.08,621020,543272,ATL,NYM,Infield shift,Standard,632262,58,2,Sinker,6,1,1,6,0.0,-0.049,2021
27,SL,2021-10-02,"Swanson, Dansby",,,,,,,,,,,,,B,,,,ball,Dansby Swanson strikes out swinging.,0,0,0-0,13,0,0,0,0,0,0,77.5,2238.0,308.0,-1.24,14.879999999999999,-1.08,2.73,6.1,76.2,5.4,55.11,0.5,-0.5,1.29,,,,0,7,Bot,543510,-4.5694487388349,-112.77987259990368,-3.127267340472821,-9.671178980299215,21.27594540390675,-32.530187236453585,3.42,1.56,R,L,77.5,2238.0,308.0,-1.24,14.879999999999999,-1.08,2.73,6.1,76.2,5.4,55.11,0.5,-0.5,1.29,621020,543272,ATL,NYM,Infield shift,Standard,632262,58,1,Slider,6,1,1,6,0.0,0.038,2021
28,SL,2021-10-01,"Swanson, Dansby",,,,,,,,0.0,1.0,0.0,0.0,,S,2.0,,strikeout,called_strike,Dansby Swanson called out on strikes.,1,2,1-2,14,1,0,0,0,0,0,87.3,2900.0,97.0,0.35,-4.199999999999999,8.52,-0.71,5.73,88.4,6.7,53.81,-0.94,0.94,1.8,,,661388.0,2,7,Bot,543510,3.275716021508988,-127.23090508405788,-4.862391530260187,3.2301842995414365,23.5479543960781,-23.655864924264883,3.69,1.76,R,R,87.3,2900.0,97.0,0.35,-4.199999999999999,8.52,-0.71,5.73,88.4,6.7,53.81,-0.94,0.94,1.8,621020,592390,ATL,NYM,Standard,Standard,632277,57,4,Slider,2,4,4,2,-0.038,-0.155,2021
29,SL,2021-10-01,"Swanson, Dansby",,,,,,,,,,,,,B,,,,ball,Dansby Swanson called out on strikes.,0,2,0-2,14,0,0,0,0,0,0,86.6,2858.0,87.0,0.28,-3.3600000000000003,9.84,-0.72,5.75,87.4,6.7,53.78,-1.48,1.48,1.27,,,661388.0,2,7,Bot,543510,4.70063570051123,-125.9455693616901,-6.234460286190221,2.1196841441553564,24.51521329918192,-22.39207077870553,3.67,1.55,R,R,86.6,2858.0,87.0,0.28,-3.3600000000000003,9.84,-0.72,5.75,87.4,6.7,53.78,-1.48,1.48,1.27,621020,592390,ATL,NYM,Standard,Standard,632277,57,3,Slider,2,4,4,2,0.0,0.017,2021
